ZTFID,IAUID,host_redshift
ZTF19aayjsty,SN2019hei,0.07
ZTF19aayogzn,SN2019hkl,0.06965
ZTF19aaypehm,SN2019hup,0.11
ZTF19aayqait,SN2019hsy,0.069
ZTF19aayslow,SN2019hnu,0.06
ZTF19aayveer,SN2019hzw,0.08
ZTF19aayvylv,SN2019hrx,0.071
ZTF19aaywlmi,SN2019hqg,0.07
ZTF19aayxlma,SN2019hoc,0.04
ZTF19aazdcmj,SN2019iba,0.09
ZTF19aazdirb,SN2019ifp,0.09
ZTF19aazgdss,SN2019hcg,0.077296
ZTF19aazgpar,SN2019hko,0.09
ZTF19aaziick,SN2019hqh,0.08
ZTF19aazlsfj,SN2019hql,0.07
ZTF19aazxcvl,SN2019hud,0.06
ZTF19aazzpje,SN2019huq,0.09
ZTF19ababigc,SN2019iaw,0.055
ZTF19abaejrh,SN2019ica,0.088
ZTF19abaejto,SN2019hyj,0.06
ZTF19abaeyln,SN2019hvj,0.0852
ZTF19abafrvy,SN2019ibf,0.078
ZTF19abahvdh,SN2019hxb,0.07
ZTF19abajuqh,SN2019ibd,0.068
ZTF19abakdjd,SN2019iee,0.06
ZTF19abakjao,SN2019iei,0.06
ZTF19abakjci,SN2019ief,0.07
ZTF19abalrbb,SN2019iaf,0.05
ZTF19abasxkg,SN2019ibb,0.038
ZTF19abattvp,SN2019iax,0.07
ZTF19abatvit,SN2019ihl,0.1
ZTF19abaukyt,SN2019kdf,0.0715
ZTF19abauzma,SN2019iln,0.07028
ZTF19abbvzgr,SN2019iml,0.0498
ZTF19abcejoa,SN2019kgs,0.09
ZTF19abcfzdy,SN2019kpb,0.08751
ZTF19abcncdg,SN2019kbq,0.09
ZTF19abcnpkt,SN2019kiy,0.085
ZTF19abcttsc,SN2019klr,0.025
ZTF19abcvrpm,SN2019kvl,0.1
ZTF19abdgpuv,SN2019iew,0.1
ZTF19abdkbwy,SN2019iue,0.098
ZTF19abdkcib,SN2019kzb,0.107
ZTF19abdkgns,SN2019kpo,0.0862
ZTF19abdmfgf,SN2019kzd,0.077
ZTF19abdoznh,SN2019krx,0.037
ZTF19abdqaao,SN2019kit,0.055
ZTF19abdrwsz,SN2019krv,0.02617
ZTF19abdyawn,SN2019kyy,0.041
ZTF19abdzehg,SN2019kze,0.024
ZTF19abeizmo,SN2020adw,0.065
