ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V,host_redshift
ZTF18abakunn,SN2019wkb,11:23:04.55,+27:34:14.3,58828.42,r,18.0304,-18.96,22.799,5.275,17.524,SN Ia,0.0567,70.39977703,0.042,0.0567
ZTF18abavruc,SN2013ld,16:26:42.91,+13:06:49.8,59406.21,g,16.5637,-19.03,19.67,7.611,12.059,SN Ia,0.028,37.96252461,0.148,0.02741
ZTF18abaxlpi,SN2018ctm,18:26:14.17,+45:00:36.7,58296.45,g,18.3094,-19.11,22.32,7.607,14.713,SN Ia,0.0646,23.05029252,0.14,0.0646
ZTF18abbpeqo,SN2018cvq,15:52:54.45,+50:37:09.8,58302.31,r,17.9918,-19.37,22.46,10.589,11.871,SN Ia,0.06678,48.51832123,0.054,0.06678
ZTF18abbqjds,SN2018cvr,14:45:24.56,+78:17:04.9,58298.31,r,18.635,-19.67,27.227,9.222,18.005,SN Ia,0.1,37.25114663,0.106,0.1
ZTF18abbvsiv,SN2018cto,17:24:32.02,+70:22:20.7,58297.24,g,17.663,-19.17,27.821,8.797,19.024,SN Ia,0.051,32.69415597,0.087,0.051
ZTF18abcdzyc,SN2018cty,13:01:45.72,+61:27:55.4,58300.31,g,18.084,-18.89,26.287,9.375,16.912,SN Ia,0.056,55.6191345,0.034,0.056
ZTF18abcecfi,SN2018dbc,15:21:24.33,+69:36:22.4,58306.18,r,18.7905,-18.98,25.856,15.006,10.85,SN Ia,0.08,42.33603409,0.063,0.08
ZTF18abcflnz,SN2018cuw,18:46:14.35,+35:58:07.3,58308.39,g,16.2495,-19.12,23.495,11.504,11.991,SN Ia,0.024,16.5085855,0.244,0.024
ZTF18abckujg,SN2018cvt,14:51:53.64,+46:38:44.7,58303.22,g,18.4174,-19.19,22.335,10.132,12.203,SN Ia,0.074,59.32509792,0.049,0.074
ZTF18abckujq,SN2018cvf,12:06:40.62,+59:30:48.1,58303.2,g,17.8503,-19.43,28.198,9.49,18.708,SN Ia,0.06383,56.70801022,0.053,0.06383
ZTF18abcrtnq,SN2018cvu,13:15:34.31,+28:20:34.5,58301.26,g,18.611,-19.67,27.044,9.751,17.293,SN Ia,0.10151,84.52407295,0.03,0.10151
ZTF18abcrxoj,SN2018cvw,15:57:02.30,+37:25:01.6,58305.2,g,16.5157,-19.19,21.416,7.308,14.108,SN Ia,0.0309,49.86475358,0.061,0.0309
